LineId,Content,EventId,EventTemplate
6152,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=221.12.60.23 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6153,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=221.12.60.23 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6154,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=221.12.60.23 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6155,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=221.12.60.23 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6156,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=221.12.60.23 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6157,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6158,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6159,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6160,check pass; user unknown,E299,check pass; user <*>
6161,session closed for user test,E227,session closed for user <*>
6162,session closed for user test,E227,session closed for user <*>
6163,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6164,authentication failure; logname=test uid=509 euid=0 tty= ruser= rhost= user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6165,authentication failure; logname=test uid=509 euid=0 tty= ruser= rhost= user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6166,password changed for test,E256,password changed for <*>
6167,wall: user test broadcasted 1 lines (36 chars),E67,wall: user test broadcasted <*> lines (<*> chars)
6168,session closed for user test,E227,session closed for user <*>
6169,session closed for user test,E227,session closed for user <*>
6170,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6171,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6172,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6173,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6174,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6175,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6176,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6177,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6178,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6179,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.69.8.78 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6180,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6181,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6182,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6183,session closed for user test,E227,session closed for user <*>
6184,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6185,session closed for user test,E227,session closed for user <*>
6186,session closed for user test,E227,session closed for user <*>
6187,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6188,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6189,session closed for user test,E227,session closed for user <*>
6190,session closed for user test,E227,session closed for user <*>
6191,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6192,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=81.196.56.79 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6193,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6194,session closed for user test,E227,session closed for user <*>
6195,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6196,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6197,session closed for user test,E227,session closed for user <*>
6198,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6199,session closed for user test,E227,session closed for user <*>
6200,session closed for user test,E227,session closed for user <*>
6201,session closed for user test,E227,session closed for user <*>
6202,session closed for user test,E227,session closed for user <*>
6203,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=81.196.56.77 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6204,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6205,session closed for user test,E227,session closed for user <*>
6206,session opened for user cyrus by (uid=0),E208,session opened for user <*> by <*>
6207,session closed for user cyrus,E227,session closed for user <*>
6208,ALERT exited abnormally with [1],E173,ALERT exited abnormally with <*>
6209,session opened for user news by (uid=0),E208,session opened for user <*> by <*>
6210,session closed for user news,E227,session closed for user <*>
6211,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6212,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6213,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6214,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6215,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6216,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6217,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6218,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6219,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6220,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.32.209.188 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6221,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6222,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6223,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6224,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6225,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6226,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6227,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6228,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6229,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6230,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6231,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6232,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6233,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6234,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6235,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6236,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6237,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-232-147-37.nexg.net user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6238,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.51.189.186 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6239,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.51.189.186 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6240,check pass; user unknown,E299,check pass; user <*>
6241,check pass; user unknown,E299,check pass; user <*>
6242,check pass; user unknown,E299,check pass; user <*>
6243,check pass; user unknown,E299,check pass; user <*>
6244,check pass; user unknown,E299,check pass; user <*>
6245,check pass; user unknown,E299,check pass; user <*>
6246,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6247,password changed for test,E256,password changed for <*>
6248,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=88-213-181-81-cable.canals.ro user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6249,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6250,session closed for user test,E227,session closed for user <*>
6251,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6252,session closed for user test,E227,session closed for user <*>
6253,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6254,session closed for user test,E227,session closed for user <*>
6255,session opened for user test by (uid=509),E208,session opened for user <*> by <*>
6256,session closed for user test,E227,session closed for user <*>
6257,session closed for user test,E227,session closed for user <*>
6258,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=81.196.56.83 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6259,session opened for user cyrus by (uid=0),E208,session opened for user <*> by <*>
6260,session closed for user cyrus,E227,session closed for user <*>
6261,ALERT exited abnormally with [1],E173,ALERT exited abnormally with <*>
6262,session opened for user news by (uid=0),E208,session opened for user <*> by <*>
6263,session closed for user news,E227,session closed for user <*>
6264,connection from 64.203.6.90 (user-10cm1iq.cable.mindspring.com) at Wed Oct 12 09:11:06 2005,E261,connection from <*> (<*>) at <*>
6265,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.108.60.203 user=root,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6266,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=81.196.56.67 user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6267,1 more authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=81.196.56.67 user=test,E5,<*> more authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6268,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6269,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6270,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6271,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6272,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6273,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6274,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6275,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6276,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6277,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6278,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6279,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6280,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6281,connection from 216.206.24.5 () at Wed Oct 12 21:52:32 2005,E261,connection from <*> (<*>) at <*>
6282,connection from 216.206.24.5 () at Wed Oct 12 21:52:33 2005,E261,connection from <*> (<*>) at <*>
6283,connection from 216.206.24.5 () at Wed Oct 12 21:52:33 2005,E261,connection from <*> (<*>) at <*>
6284,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6285,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6286,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6287,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6288,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6289,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6290,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6291,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6292,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6293,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6294,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6295,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6296,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6297,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6298,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6299,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6300,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6301,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6302,connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005,E261,connection from <*> (<*>) at <*>
6303,connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005,E261,connection from <*> (<*>) at <*>
6304,connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005,E261,connection from <*> (<*>) at <*>
6305,connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005,E261,connection from <*> (<*>) at <*>
6306,connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005,E261,connection from <*> (<*>) at <*>
6307,session opened for user cyrus by (uid=0),E208,session opened for user <*> by <*>
6308,session closed for user cyrus,E227,session closed for user <*>
6309,ALERT exited abnormally with [1],E173,ALERT exited abnormally with <*>
6310,session opened for user news by (uid=0),E208,session opened for user <*> by <*>
6311,session closed for user news,E227,session closed for user <*>
6312,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6313,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6314,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6315,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6316,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6317,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6318,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6319,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6320,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6321,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6322,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6323,connection from 210.21.220.88 (sym.gdsz.cncnet.net) at Thu Oct 13 13:44:08 2005,E261,connection from <*> (<*>) at <*>
6324,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6325,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6326,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6327,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6328,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6329,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6330,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6331,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:30 2005,E261,connection from <*> (<*>) at <*>
6332,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6333,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6334,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6335,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6336,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6337,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6338,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6339,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6340,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:31 2005,E261,connection from <*> (<*>) at <*>
6341,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:32 2005,E261,connection from <*> (<*>) at <*>
6342,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:32 2005,E261,connection from <*> (<*>) at <*>
6343,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:32 2005,E261,connection from <*> (<*>) at <*>
6344,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:32 2005,E261,connection from <*> (<*>) at <*>
6345,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:32 2005,E261,connection from <*> (<*>) at <*>
6346,connection from 84.154.104.207 (p549A68CF.dip.t-dialin.net) at Fri Oct 14 01:52:32 2005,E261,connection from <*> (<*>) at <*>
6347,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6348,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6349,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6350,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6351,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6352,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6353,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6354,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6355,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6356,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=www.lssu.edu user=test,E8,authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6357,session opened for user cyrus by (uid=0),E208,session opened for user <*> by <*>
6358,session closed for user cyrus,E227,session closed for user <*>
6359,ALERT exited abnormally with [1],E173,ALERT exited abnormally with <*>
6360,session opened for user news by (uid=0),E208,session opened for user <*> by <*>
6361,session closed for user news,E227,session closed for user <*>
6362,check pass; user unknown,E299,check pass; user <*>
6363,check pass; user unknown,E299,check pass; user <*>
6364,check pass; user unknown,E299,check pass; user <*>
6365,check pass; user unknown,E299,check pass; user <*>
6366,check pass; user unknown,E299,check pass; user <*>
6367,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6368,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6369,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6370,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6371,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6372,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6373,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6374,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6375,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
6376,connection from 213.54.172.95 (p213.54.172.95.tisdip.tiscali.de) at Fri Oct 14 07:40:25 2005,E261,connection from <*> (<*>) at <*>
